;date;text;link
10;2024-02-02 10:37:44;Уважаемые жители! Общество Поощрения Художеств расположенное в Санкт-Петербурге, на улице Шпалерная, дом 35, любезно приглашает детей и взрослых Центрального района посетить художественную галерею, где до 12 февраля проходит выставка “В гостях у сказки”. Общество поощрения художеств продолжает традиции Императорского Общества Поощрения Художеств, созданного в 1820 году с целью содействия развитию изобразительного искусства, распространению знаний, связанных с искусством, и образованию художников и скульпторов. Атмосфера в галерее очень теплая и особенная, созданная организаторами выставки и хозяйкой галереи. «В гостях у сказки» - новый выставочный проект, в рамках которого объединили более 40 работ мастеров ленинградской и московской школ графического искусства. Сказка – особенный жанр, который объединяет в себе реальность и фантастику, историю и мифологию, элементы народной мудрости. Сказка отражает представления о добре и зле, знакомит с основами морали и человеческими ценностями. 🖇️ Экскурсия состоится в воскресенье 4 февраля 2024 года в 12:00. Встречаемся в галерее по адресу: улица Шпалерная дом 35. Если вы хотите посетить выставку, с экскурсией, где вам интересно расскажут о картинах и сюжетах, записывайтесь в группу, по телефону 8(904)636-63-80 или через ВКонтакте через Илону Ханину, количество мест ограниченно. Вы проведете время не только полезно, но и интересно. Дети +10. Экскурсия бесплатная. https://www.oph-art.ru/ru/;https://www.oph-art.ru/ru/
11;2024-02-01 08:36:48;Уважаемые жители!По обращению депутата Законодательного собрания Ржаненкова Александра Николаевича «Театр юных зрителей имени А.А. Брянцева» выделил бесплатные билеты на спектакль: 04 февраля 2024 года в 19:00 состоится постановка спектакля «Вечера с Петром Великим», 14 +  Билеты возле кассы вам по списку выдаст Илона, телефон 8 (904) 636-63-80 Пишите в личные сообщения [id514151114|Илоне Ханиной], сколько нужно билетов, свои ФИО, телефон. Просьба приходить в театр минимум за 30 минут.Пожалуйста, пишите в личные сообщение: ваше ФИО, сколько билетов нужно, телефон для связи. Приятного просмотра.;
12;2024-01-30 19:44:00;На минувшей неделе, мне звонила житель Центрального района, задавая вопрос что делать: пришел мастер, сказал, что отремонтирует компьютер за определенную сумму, перед этим всю возможную информацию скинет на внешний носитель. В итоге, потребовал с женщины 40 000 рублей, и когда она сказала, что платить не будет, так как это дорого, этот «НЕдомастер» убежал! Также он украл жесткий диск. В полиции говорят, обращайтесь в суд.  По обращению профессионального сообщества и жителя Никиты, Общественный Совет жителей избирательного округа № 2 обсудили проблему, когда мастер (компьютер, телефон и т д) обещает устранить поломку за одну стоимость, а в итоге требует сумму в разы больше.  🖇 Возникает несколько проблем: 1. оказание услуг ненадлежащего качества 2. проблемы с утечкой персональных данных и конфиденциальной и личной информации и т д Вопросы гражданско-правового характера с обращением в суд или нарушения УК мы даже не обсуждаем.  К сожалению, таких мастеров всё больше и больше и обычные жители от них не застрахованы. Самый сильный удар приходится на не защищённые слои населения. Проработаем совместно с профессиональным сообществом предложения и отправим нашу инициативу.  Напишите ваши комментарии:  📲 Были ли случаи, когда мастер или компания, обещали провести работы за одну стоимость, а в итоге потребовали сумму в разы больше 📲 Нужно ли урегулировать данный вопрос? 📲 Пусть работают как хотят;
13;2024-01-30 15:31:13;На Кавалергадской улице, 5 с фасада рухнул кусок штукатурки. Пешеходов на тротуаре, к счастью, не было. Однако пострадал Renault. Удар пришелся четко в капот. Водитель лишь отделался легким испугом. Сейчас опасная зона огорожена. Домом управляет Жилкомсервис № 3 Центрального района. Его работники уже проверяют целостность отделки и простукивают стены. Также коммунальщики пообещали компенсировать владельцу автомобиля ущерб от происшествия.;
14;2024-01-28 14:36:50;"Проект ""Улица Жизни"", посвящённый 80-й годовщине полного освобождения Ленинграда от фашистской блокады. Экспозиция проведёт вас от осени 1941 года, через всю блокаду, к победному январю 1944-го. Здесь можно увидеть не только как город выглядел в дни блокады, но и чем город жил. Отдельные части экспозиции (""Блокадная квартира"", ""Музей"", ""Школьный класс"", ""Репетиционный зал"", ""Библиотека"") расскажут о том, что жизнь в городе не замирала даже в тяжёлые дни. 📝📺💥🏛❄📹 26-28 января 2024 года, Манежная площадь (г. Санкт-Петербург).";
15;2024-01-27 19:21:36;"Уважаемые соседи! 27 января мы отмечаем великое событие, которое по праву называют Ленинградской Победой. Исполнилось 80 лет со Дня полного освобождения Ленинграда от фашистской блокады. У нас в Центральном районе Соляной переулок - это место, где бережно хранят память о мужестве и героизме ленинградцев, о бомбёжках, обстрелах, голоде, холоде, гибели родных, которые преодолевали жители и защитники Города на Неве. Поэтому сегодня я был там. Живые цветы у памятников и очереди в ""Музей обороны и блокады Ленинграда"", детские рисунки - это лучшее свидетельство того отрадного факта, что петербуржцы чтят подвиг предков и передают знания о блокаде из поколения в поколение.  Поздравляю всех с Днём Ленинградской Победы! Это праздник со слезами на глазах, который подарил жителям освобождённого города избавление от страданий, на который наш любимый город обрекли фашистские нелюди. Слава защитникам Ленинграда! Чтим память павших, благодарим ветеранов, которые сквозь десятилетия пронесли дух стойкости ленинградцев. С праздником!  С уважением, координатор группы ""Жители центра - Центральный район"" Вадим Суходольский.";
16;2024-01-26 13:30:22;"Уважаемые жители!✨✨По обращению депутата Законодательного собрания Ржаненкова Александра Николаевича «Театр юных зрителей имени А.А. Брянцева» выделил бесплатные билеты на спектакль «Счастливый неудачник». Главный герой повести Вадима Шефнера — мальчик Витя. Произведение во многом автобиографично, поэтому со страниц книги и, вслед за ней, в спектакле, мы узнаем о детстве самого автора. Он родился в Петрограде, детство его пришлось на 20-е годы прошлого века; он помнит и с огромной теплотой описывает дворы города, песни, игры, шутки и довоенные мечты тех, кто жил и рос рядом с ним. Но, несмотря на то, что события повести происходят сто лет назад, Витя, как и его друзья, сталкиваются с теми же вопросами, что и сегодняшние подростки. Что такое ответственность? Что такое друг и враг? Как научиться следовать своей мечте?🎭 спектакль состоится в воскресенье 28 января 2024 года в 12:00 и 17:00 Билеты возле кассы вам по списку выдаст Илона , 8(904)636-63-80 Пишите в личные сообщения [id514151114|Илоне Ханиной], сколько нужно билетов, свои ФИО, телефон Просьба приходить в театр минимум за 30 минут.Пожалуйста пишите в личные сообщение: ваше ФИО, сколько билетов нужно, телефон для связи. Приятного просмотра.";
17;2024-01-26 10:12:22;Вот такую красоту кто-то слепил на скамеечке в Некрасовском садике. Спасибо неизвестному скульптору, порадовал )));
18;2024-01-26 03:49:08;Я понимаю, что есть сложности с уборкой городских улиц от снега, но я не понимаю, почему тротуары в самом центре возле Спаса на Крови, не чистили не один день? На нечетной стороне Набережной канала Грибоедова сплошной лёд, люди идут не по тротуару, а по проезжей части, что небезопасно. Хочется обратить внимание, что на улице Малая Конюшенная находится поликлиника № 39 и ее посещает много возрастных людей. Печально наблюдать, как десять дворников чистят Малую Конюшенную и совершенно не чистят улицы в десяти метрах...;
19;2024-01-25 12:01:00;"Твори добро и оно к тебе вернется. Члены организации поддержки многодетных семей  ""Азбука семьи"" и благотворительный фонд «Колос» на этой неделе помогли людям, попавшим в трудную жизненную ситуацию, в том числе жителям Центрального района.Одинокому парализованному молодому человеку, оказавшемуся в больнице без верхней одежды и личных вещей, собрали зимнюю одежду и обувь для переезда в реабилитационный центр. Маме из нашего района с тремя детьми, оставшейся одной, помогли с лекарствами и средствами личной гигиены для новорожденного.Отдельно хочу поблагодарить благотворительный фонд «Колос» и его руководителя, за оказанную в экстренном порядке помощь. Дружная, сплоченная команда всегда помогает двигаться вперед. Вместе мы сила, которая преодолеет всё.";
20;2024-01-25 07:01:51;7-я Советская улица, вид из двора дома 3. 1990 и 2023 год.;
21;2024-01-24 18:35:10;"На прошлой неделе запустили совместную работу по истории Великой Отечественной войны. Над проектом работают ученики 4 класса школы № 620 ""Росток"" Центрального района, благотворительным фондом ""Азбука семьи"" совместно с Детской библиотекой иностранной литературы им. М.Д. Яснова.В чём уникальность проекта? Дети записывают рассказы своих дедов и прадедов о Великой Отечественной войны. Семейные истории о тех героических днях. Вчера продумывали, какие иллюстрации нужны для наших первых разворотов: рисовали медали, технику военных лет. сканировали фотографии из домашних архивов. Дети с энтузиазмом и большим интересом обсуждали свои действия в команде юных редакторов.";
22;2024-01-23 18:54:09;"В рамках общественного контроля члены Общественного Совета жителей Центрального района избирательного округа № 2 Илона Ханина; Елена Фидель; Василий Правдин; Александр Федченко, по приглашению жителей посетили двор по адресу: улица Рубинштейна 30. 1) Жителей очень волнует вопрос того, что их двор проходной и все кто хочет, идут с улицы Рубинштейна к метро и Владимирскому проспекту, через их двор! Все бы ничего, но толпа получается внушительная, особенно в тёплое время года. Также жителей беспокоят хулиганы, которые ночью могут покричать во дворе дома: ""что вы жители, спите?!"" Есть те, кто заходит справить малую нужду и т д. Нужно учесть, что рядом расположен Щербаков переулок и по нему можно без проблем пройти по тротуару, никому не мешая! Но многие думают, зачем идти по улице, если можно сократить путь через чужой, жилой двор. Жители хотят видеть у себя во дворе: чистоту, порядок, безопасность и минимум чужих людей. Желание естественное и разумное. 2) Жители решили создать дееспособный Совет дома и навести порядок во взаимоотношениях с представителями бизнеса и Управляющей компанией (УК). Так случилось, что во время нашей встречи ГУЖА проводили работу по очистке от снега территории этого и соседнего дворов. Почистили хорошо, и если бы не машины, которые стоят во дворе никуда не уезжая, двор очистили бы полностью! Оценка 5. Что мы сделаем для жителей этого дома от себя?!: окажем жителям юридическую и практическую помощь по созданию Совета дома, расскажем, что нужно делать и как взаимодействовать с УК и бизнесом. Подготовим проект порядка пользования дворовой территорией и воротами установленными в арках, оценим возможность закрытия калиток в ночное время суток... 🚨 Снова и снова, хочу призвать власти Санкт-Петербурга и депутатов подумать о жителях и принять региональный закон «Об ограничении права пользования придомовой территорией» Для исторических районов города, это очень важный вопрос. Почему, мы всегда отстаем от Москвы? Цветущая, с парками и общественными пространствами, актуальным региональным законодательством, с множеством станций метро и налаженным движением общественного транспорта, столица нашей Родины впереди Санкт-Петербурга…";
23;2024-01-22 19:17:03;"Губернатор Ленинградской области Александр Дрозденко, в начале января подписал распоряжение об организации мероприятий по защите населения от чрезвычайных ситуаций. К 15 февраля будет определено, сколько в Ленинградской области есть бомбоубежищ, в каком они состоянии и сколько нужно денег на их ремонт.  А что в нашем городе? Мы несколько раз писали обращения и поднимали вопрос о том, сколько у нас в Санкт-Петербурге есть бомбоубежищ, (помимо официального перечня) в каком они состоянии, что делается, чтобы жители знали: что делать в чрезвычайной ситуации и куда бежать…  Писали обращение о необходимости проведения мероприятий, разъясняющих жителям об их действиях в чрезвычайных ситуациях. Ответов мы не получили, сегодня отправили новый запрос, уже в адрес вице-губернатора.  К сожалению, многие бомбоубежища в аварийном состоянии или перешли в частные руки. Почему, это произошло, нужно проверить и сделать вывод ответственным инстанциям.  Что вы, уважаемые жители знаете, о местонахождении ближайших к вашему месту жительства или работы бомбоубежищ; что делать в экстренной ситуации??  Знаете ли вы как оказать первую помощь в случае ранения, ожога, пореза и т. д.???";
24;2024-01-22 03:38:58;С большим удовольствием зашла в необычный Цветочный магазин на улице Караванная, 12. Коллектив магазина состоит из милых сотрудников и не менее милого Романа (попугай). Антураж магазина круглый год, как в сказке! Сюда интересно и приятно, даже просто зайти посмотреть ✨Работали флорист Оксана и звезда магазина Роман! 😊;
25;2024-01-18 20:17:17;[club203028210|Оксана Дмитриева]: Дорогие земляки, ленинградцы-петербуржцы! От всей души поздравляю Вас с 81 годовщиной прорыва блокады. Желаю всем ветеранам, Жителям блокадного Ленинграда крепкого здоровья и долгих лет жизни! Сегодня мы вспоминаем всех тех, кто погиб в блокадном Ленинграде, а также тех ветеранов, которые долгие годы были рядом с нами, но не дожили до сегодняшнего дня. Вечная память!;
26;2024-01-18 04:02:27;Этот снимок - из газеты «Вечерний Ленинград», март 1972 года. Именно фото, а не рисунок-фантазия. К снимку прилагалась заметка об эксперименте в Летнем саду. Скульптуры на зиму решили укрыть по-новому: прозрачными колпаками из органического стекла. Кроме того, по вечерам включалась подсветка. Эксперимент по неизвестным причинам не стал регулярной практикой. Но  идея фантастическая - во всех смыслах. Представьте: скульптуры в Летнем саду - в прозрачных футлярах с подсветкой.;
27;2024-01-16 18:33:05;"Уважаемые жители! За последнее время к нам обратилось несколько жителей с улиц: Литейный проспект, ул. Белинского, Загородный проспект, 7 -я Советская, набережная Обводного канала ... с проблемой ограничения доступа на придомовую территорию, если земля в собственности города и не приватизирована!  По некоторым адресам происходят нешуточные страсти, которые портят нервы и соседские взаимоотношения. Мы много раз собирали мероприятия и обсуждали данный вопрос, написали множество обращений, что этот вопрос нужно решить … всё тщетно.  В настоящее время депутаты Законодательного Собрания Санкт-Петербурга посчитали, данный вопрос для жителей исторической части города не актуальным.  Обращаю внимание, что в Москве с 2013 года действует ПП № 428 «О порядке установки ограждений на придомовых территориях в городе Москве». Если учесть, что у нас в исторических районах города, много дворов-колодцев, дворы смежные, часто имеются по несколько входов, данный вопрос очень сложный.  Люди хотят во дворе тишины, хоть какой-то безопасности и отсутствия множества чужих автомашин под окнами.  Хочется сказать, при отсутствии законодательства, регулирующего данный вопрос, если жители сами между собой не договорятся: к вам приедут и ККИ снимет шлагбаум или откроют створки ворот (калитку), и вы ничего с этим не сделаете.  Нужно договариваться и конечно понимать, что ворота имеют запорные механизмы и имеют свойство ломаться, а значит нужно определить порядок обслуживания этих ворот или шлагбаума;  (2) нужно определить (хотя бы устно) порядок пользования дворовой территорией, если вы хотите ходить, через соседский двор. Создайте «Кодекс добрососедства» вашего двора! Также важным остается вопрос площадок ТБО, так как у нас некоторые жители домов выбрасывают свой мусор в контейнеры, установленные в соседних дворах.  Пока наши законодатели игнорируют интересы жителей, будьте друг к другу добрее и пытайтесь договориться. Договориться всегда выгоднее, чем ссоры.";
28;2024-01-14 10:25:36;Путешествие по Лермонтовскому Петербургу. Особняк Мусиных-Пушкиных на Литейном проспекте;
29;2024-01-09 20:46:46;В конце декабря к нам в Общественный Совет жителей Центрального района избирательный округ № 2 обратились жители, проживающие по адресу ул. Загородном пр., д. 28 , Владимирский МО.Причина: По адресу ул.Правды 3 в 2023 году выполнялся проект благоустройства в рамках соучаствующего проектирования.В ходе реализации проекта 17.10.2023 подрядчик начал сносить газонные ограждения на территории ЗНОП местного значения № 31-82-12 (сквер б/н на Загородном пр., д. 28).Возмущенные жители стали звонить в администрацию, так как во время проведения встреч по соучаствующему проектированию вопросы о замены тротуарной плитки и сносе газонных ограждений на территории ЗНОП не обсуждались. В паспорте на объект не были указаны даты начала и окончания работ, № ордера на производство плановых работ. Житель Владимирского МО Ольга Юрьевна обратилась в отдел благоустройства, чтобы выяснить, на каком основании сносят газонные ограждения. Ей ответили, что в соответствии с проектом благоустройства газонные ограждения будут отремонтированы (отмывка пескоструйной смесью, покраска) и восстановлены. Аналогичный ответ был дан всем обратившимся в администрацию жителям и опубликован ВКонтакте Владимирский. После чего в паспорте объекта замазали контактный телефон подрядчика, так как люди продолжали звонить, ведь информации нигде не было.В связи с отсутствием информирования населения о ходе работ по проекту (перечень работ, сроки, ответственные), я пыталась записаться на прием к Главе Муниципального образования Д.В. Тихоненко на 11.12.2023, чтобы прояснить ситуацию по восстановлению газонных ограждений на территории ЗНОП. Ей не перезвонили. Прием 11.12.2023 не состоялся.. и так несколько раз. 11.12.2023 в комментарии к очередному посту «Telegram ТИХОНЕНКО» она написала, что не смогла записаться на прием и попросила в Telegram канале опубликовать информацию о ходе работ по проекту. На что получила ответ: (дословно) «в Телеграм пост пока не предполагается, что можно написать обращение личное и получить официальный ответ». Удивительно, что общий для населения Владимирского округа вопрос вдруг стал личным.Итог: глава местной администрации дал ответ, что, кто-то там ошибся и ограждения восстанавливать не собираются, а глава МО ее так и не принял. В ходе осмотра территории в рамках Общественного контроля, мы увидели, что эти снесенные ограждения перенесли и установили возле детской площадки, в двадцати метрах, где их сняли!  Хочется обратить внимание, на качество древесины игрового оборудования, слой герметика и отсутствие верхнего покрытия … Печально, что цветочные клумбы вытоптали, так как ограждений теперь нет!   И самое ужасное, что местная администрация не видит ничего плохого в том, что уничтожили труд жителей, которые ухаживали за садиком перед окнами, сажали цветы, и была договоренность, что собачники с собачками ходят по дорожкам, а за ограждения своих питомцев не пускают. Кому там жить: местным жителям или депутатам/ местной администрации? Где диалог с людьми?! Проект того благоустройства, в рамках которого когда-то установили эти ограждения, видимо согласовывался и на него выделялся денежный бюджет?!  Местная администрация имеют совесть переложить из одного кармана в другой и показать жителям «фигу» и им не важно, что думают об этом их жители.Подготовили и отправим обращения, но такие вещи нужно решать на местах, а не отказывать в приеме жителям.;
