,FROM,TO,SIMILARITY_SCORE
65,выпалить,травить,"tensor([0.8316], device='cuda:0', grad_fn=<SumBackward1>)"
66,вывезти,почувствовать,"tensor([0.8203], device='cuda:0', grad_fn=<SumBackward1>)"
67,жкс,жк,"tensor([0.8022], device='cuda:0', grad_fn=<SumBackward1>)"
68,заменить,замена,"tensor([0.8397], device='cuda:0', grad_fn=<SumBackward1>)"
69,балконный,мусорный,"tensor([0.8102], device='cuda:0', grad_fn=<SumBackward1>)"
70,февраль,январь,"tensor([0.8273], device='cuda:0', grad_fn=<SumBackward1>)"
71,позвонить,сообщить,"tensor([0.8128], device='cuda:0', grad_fn=<SumBackward1>)"
72,ваш,наш,"tensor([0.8264], device='cuda:0', grad_fn=<SumBackward1>)"
73,предоставление,предоставить,"tensor([0.8097], device='cuda:0', grad_fn=<SumBackward1>)"
74,депутат,пенсионер,"tensor([0.8198], device='cuda:0', grad_fn=<SumBackward1>)"
75,поднимать,подниматься,"tensor([0.8087], device='cuda:0', grad_fn=<SumBackward1>)"
76,изменить,поменять,"tensor([0.8055], device='cuda:0', grad_fn=<SumBackward1>)"
77,бытовой,жилой,"tensor([0.8069], device='cuda:0', grad_fn=<SumBackward1>)"
78,досудебный,фасадный,"tensor([0.8031], device='cuda:0', grad_fn=<SumBackward1>)"
79,работать,работа,"tensor([0.8355], device='cuda:0', grad_fn=<SumBackward1>)"
